[2025-11-24 16:04:52] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-24 16:04:52] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe
[2025-11-24 16:04:58] Initializing Coconut with mode: residual
[2025-11-24 16:04:58] Running FSDP on rank = 0
[2025-11-24 16:07:28] {"epoch": 4, "step": 60, "loss": 1.3706, "avg_alpha": 3.7194, "avg_norm": 1579.5533, "avg_cosine": 0.9806}
[2025-11-24 16:07:30] {"epoch": 4, "step": 61, "loss": 1.3454, "avg_alpha": 3.555, "avg_norm": 1499.9044, "avg_cosine": 0.9603}
[2025-11-24 16:07:31] {"epoch": 4, "step": 62, "loss": 1.4237, "avg_alpha": 3.7604, "avg_norm": 1598.6041, "avg_cosine": 0.9582}
[2025-11-24 16:07:33] {"epoch": 4, "step": 63, "loss": 1.4054, "avg_alpha": 3.408, "avg_norm": 1437.9775, "avg_cosine": 0.9546}
[2025-11-24 16:07:34] {"epoch": 4, "step": 64, "loss": 1.3371, "avg_alpha": 3.4826, "avg_norm": 1471.5599, "avg_cosine": 0.9622}
[2025-11-24 16:07:36] {"epoch": 4, "step": 65, "loss": 1.3018, "avg_alpha": 3.6964, "avg_norm": 1604.3784, "avg_cosine": 0.9724}
[2025-11-24 16:07:37] {"epoch": 4, "step": 66, "loss": 1.3304, "avg_alpha": 3.4719, "avg_norm": 1486.2867, "avg_cosine": 0.9524}
[2025-11-24 16:07:39] {"epoch": 4, "step": 67, "loss": 1.3881, "avg_alpha": 3.7678, "avg_norm": 1610.1348, "avg_cosine": 0.9582}
[2025-11-24 16:07:40] {"epoch": 4, "step": 68, "loss": 1.3028, "avg_alpha": 3.5218, "avg_norm": 1522.2847, "avg_cosine": 0.9681}
[2025-11-24 16:07:41] {"epoch": 4, "step": 69, "loss": 1.3984, "avg_alpha": 3.6746, "avg_norm": 1606.4224, "avg_cosine": 0.9721}
[2025-11-24 16:07:43] {"epoch": 4, "step": 70, "loss": 1.2245, "avg_alpha": 3.4375, "avg_norm": 1520.6642, "avg_cosine": 0.9709}
[2025-11-24 16:07:44] {"epoch": 4, "step": 71, "loss": 1.2286, "avg_alpha": 3.6062, "avg_norm": 1579.2468, "avg_cosine": 0.9525}
[2025-11-24 16:07:46] {"epoch": 4, "step": 72, "loss": 1.3645, "avg_alpha": 3.3817, "avg_norm": 1469.3352, "avg_cosine": 0.9669}
[2025-11-24 16:07:47] {"epoch": 4, "step": 73, "loss": 1.256, "avg_alpha": 3.3698, "avg_norm": 1483.3219, "avg_cosine": 0.9661}
[2025-11-24 16:07:49] {"epoch": 4, "step": 74, "loss": 1.1845, "avg_alpha": 3.377, "avg_norm": 1487.0892, "avg_cosine": 0.9692}
[2025-11-24 16:07:50] {"epoch": 4, "step": 75, "loss": 1.1899, "avg_alpha": 3.3345, "avg_norm": 1454.5281, "avg_cosine": 0.9664}
[2025-11-24 16:07:51] {"epoch": 4, "step": 76, "loss": 1.2376, "avg_alpha": 3.1481, "avg_norm": 1343.9585, "avg_cosine": 0.9476}
[2025-11-24 16:07:53] {"epoch": 4, "step": 77, "loss": 1.4216, "avg_alpha": 3.3827, "avg_norm": 1504.4773, "avg_cosine": 0.9779}
[2025-11-24 16:07:55] {"epoch": 4, "step": 78, "loss": 1.2985, "avg_alpha": 3.21, "avg_norm": 1387.0723, "avg_cosine": 0.9594}
[2025-11-24 16:07:56] {"epoch": 4, "step": 79, "loss": 1.2633, "avg_alpha": 3.3444, "avg_norm": 1484.0919, "avg_cosine": 0.9801}
[2025-11-24 16:07:58] {"epoch": 4, "step": 80, "loss": 1.304, "avg_alpha": 3.166, "avg_norm": 1373.5723, "avg_cosine": 0.9661}
[2025-11-24 16:07:59] {"epoch": 4, "step": 81, "loss": 1.3363, "avg_alpha": 3.0342, "avg_norm": 1323.2297, "avg_cosine": 0.9678}
[2025-11-24 16:08:00] {"epoch": 4, "step": 82, "loss": 1.4169, "avg_alpha": 3.1462, "avg_norm": 1386.741, "avg_cosine": 0.9763}
[2025-11-24 16:08:02] {"epoch": 4, "step": 83, "loss": 1.2878, "avg_alpha": 3.1763, "avg_norm": 1374.514, "avg_cosine": 0.9545}
[2025-11-24 16:08:03] {"epoch": 4, "step": 84, "loss": 1.1975, "avg_alpha": 3.1905, "avg_norm": 1399.8148, "avg_cosine": 0.964}
[2025-11-24 16:08:05] {"epoch": 4, "step": 85, "loss": 1.2935, "avg_alpha": 3.0086, "avg_norm": 1298.0168, "avg_cosine": 0.9566}
[2025-11-24 16:08:06] {"epoch": 4, "step": 86, "loss": 1.1447, "avg_alpha": 3.1752, "avg_norm": 1372.7104, "avg_cosine": 0.9684}
[2025-11-24 16:08:08] {"epoch": 4, "step": 87, "loss": 1.2198, "avg_alpha": 3.0268, "avg_norm": 1304.1182, "avg_cosine": 0.9666}
[2025-11-24 16:08:09] {"epoch": 4, "step": 88, "loss": 1.1626, "avg_alpha": 2.9731, "avg_norm": 1277.7913, "avg_cosine": 0.9692}
[2025-11-24 16:08:10] {"epoch": 4, "step": 89, "loss": 1.2025, "avg_alpha": 3.0058, "avg_norm": 1287.0212, "avg_cosine": 0.9626}
[2025-11-24 16:08:12] {"epoch": 4, "step": 90, "loss": 1.2485, "avg_alpha": 3.1126, "avg_norm": 1363.6713, "avg_cosine": 0.9769}
[2025-11-24 16:08:13] {"epoch": 4, "step": 91, "loss": 1.2266, "avg_alpha": 2.9531, "avg_norm": 1262.5961, "avg_cosine": 0.9614}
[2025-11-24 16:08:14] {"epoch": 4, "step": 92, "loss": 1.2048, "avg_alpha": 2.9335, "avg_norm": 1270.4376, "avg_cosine": 0.9656}
