[2025-11-25 16:01:24] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe-update_II', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-25 16:01:24] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe-update_II
[2025-11-25 16:01:31] Initializing Coconut with mode: residual
[2025-11-25 16:01:31] Running FSDP on rank = 0
[2025-11-25 16:05:41] {"epoch": 4, "step": 97, "loss": 1.1963, "avg_alpha": 0.8913, "avg_norm": 614.307, "avg_cosine": 0.9676, "reg_loss": 0.139}
[2025-11-25 16:05:42] {"epoch": 4, "step": 98, "loss": 1.1985, "avg_alpha": 0.8688, "avg_norm": 602.6274, "avg_cosine": 0.9762, "reg_loss": 0.1194}
[2025-11-25 16:05:44] {"epoch": 4, "step": 99, "loss": 1.1546, "avg_alpha": 0.8723, "avg_norm": 601.7646, "avg_cosine": 0.9643, "reg_loss": 0.1539}
[2025-11-25 16:05:47] {"epoch": 4, "step": 100, "loss": 1.2356, "avg_alpha": 0.8662, "avg_norm": 614.5673, "avg_cosine": 0.9711, "reg_loss": 0.1479}
[2025-11-25 16:05:49] {"epoch": 4, "step": 101, "loss": 1.17, "avg_alpha": 0.8595, "avg_norm": 594.1317, "avg_cosine": 0.9643, "reg_loss": 0.1442}
[2025-11-25 16:05:50] {"epoch": 4, "step": 102, "loss": 1.1828, "avg_alpha": 0.869, "avg_norm": 611.3844, "avg_cosine": 0.9539, "reg_loss": 0.1197}
[2025-11-25 16:05:52] {"epoch": 4, "step": 103, "loss": 1.1843, "avg_alpha": 0.832, "avg_norm": 605.1481, "avg_cosine": 0.9807, "reg_loss": 0.112}
[2025-11-25 16:05:54] {"epoch": 4, "step": 104, "loss": 1.2528, "avg_alpha": 0.8363, "avg_norm": 603.1778, "avg_cosine": 0.9775, "reg_loss": 0.1429}
[2025-11-25 16:05:58] {"epoch": 4, "step": 105, "loss": 1.3723, "avg_alpha": 0.7892, "avg_norm": 573.6877, "avg_cosine": 0.9724, "reg_loss": 0.1054}
[2025-11-25 16:06:00] {"epoch": 4, "step": 106, "loss": 1.5834, "avg_alpha": 0.7862, "avg_norm": 572.5422, "avg_cosine": 0.9701, "reg_loss": 0.1211}
[2025-11-25 16:06:02] {"epoch": 4, "step": 107, "loss": 1.1287, "avg_alpha": 0.7743, "avg_norm": 572.8978, "avg_cosine": 0.9806, "reg_loss": 0.1195}
[2025-11-25 16:06:04] {"epoch": 4, "step": 108, "loss": 1.1767, "avg_alpha": 0.7543, "avg_norm": 573.2322, "avg_cosine": 0.9734, "reg_loss": 0.1054}
[2025-11-25 16:06:06] {"epoch": 4, "step": 109, "loss": 1.1904, "avg_alpha": 0.7617, "avg_norm": 549.6084, "avg_cosine": 0.9733, "reg_loss": 0.1333}
[2025-11-25 16:06:08] {"epoch": 4, "step": 110, "loss": 1.3674, "avg_alpha": 0.7609, "avg_norm": 564.7633, "avg_cosine": 0.9698, "reg_loss": 0.1086}
[2025-11-25 16:06:09] {"epoch": 4, "step": 111, "loss": 1.203, "avg_alpha": 0.8004, "avg_norm": 592.539, "avg_cosine": 0.9665, "reg_loss": 0.1231}
[2025-11-25 16:06:11] {"epoch": 4, "step": 112, "loss": 1.285, "avg_alpha": 0.7927, "avg_norm": 567.4614, "avg_cosine": 0.9671, "reg_loss": 0.1191}
[2025-11-25 16:06:12] {"epoch": 4, "step": 113, "loss": 1.2998, "avg_alpha": 0.7908, "avg_norm": 580.2143, "avg_cosine": 0.9719, "reg_loss": 0.1145}
